Container 1
20;0;0;20;40;25
20;40;25;20;40;25
20;0;0;20;40;25
20;40;25;20;40;25
20;0;25;20;40;25
0;0;25;20;40;25
20;0;25;20;40;25
20;40;0;20;40;25
20;40;25;20;40;25
20;40;0;20;40;25
20;40;25;20;40;25
0;40;25;20;40;25
0;40;25;20;40;25
20;40;0;20;40;25
20;40;25;20;40;25
20;0;25;20;40;25
20;40;25;20;40;25
20;40;25;20;40;25
20;0;25;20;40;25
20;40;25;20;40;25
20;40;25;20;40;25
0;0;25;20;40;25
20;0;25;20;40;25
20;0;25;20;40;25
20;40;0;20;40;25
0;0;0;20;40;25
20;40;0;20;40;25
20;40;25;20;40;25
20;40;25;20;40;25
20;40;25;20;40;25
20;0;25;20;40;25
20;40;25;20;40;25
0;40;0;20;40;25
20;40;25;20;40;25
0;0;25;20;40;25
20;0;25;20;40;25
20;0;0;20;40;25
20;0;25;20;40;25
20;0;25;20;40;25
20;0;25;20;40;25
20;0;0;20;40;25
20;0;25;20;40;25
0;40;25;20;40;25
20;0;25;20;40;25
20;40;25;20;40;25
20;0;25;20;40;25
20;0;0;20;40;25
20;0;25;20;40;25

Container 2
25;20;0;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;0;0;25;20;40
25;20;0;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
0;20;0;25;20;40
25;20;0;25;20;40
25;20;0;25;20;40
25;20;40;25;20;40
25;20;0;25;20;40
25;20;40;25;20;40
25;20;0;25;20;40
25;0;40;25;20;40
25;20;40;25;20;40
0;20;0;25;20;40
25;20;40;25;20;40
25;0;40;25;20;40
25;20;40;25;20;40
0;20;0;25;20;40
25;20;40;25;20;40
25;20;0;25;20;40
0;20;0;25;20;40
25;0;0;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;0;40;25;20;40
25;0;40;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;20;0;25;20;40
25;20;0;25;20;40
25;0;40;25;20;40
25;20;40;25;20;40
25;20;0;25;20;40
0;20;40;25;20;40
25;20;40;25;20;40
25;0;40;25;20;40
0;0;40;25;20;40
25;20;0;25;20;40
25;20;40;25;20;40
25;0;0;25;20;40
0;20;40;25;20;40
25;20;40;25;20;40
25;0;40;25;20;40
25;20;0;25;20;40
25;20;0;25;20;40
0;20;40;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;20;0;25;20;40
0;20;40;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;20;40;25;20;40
25;0;0;25;20;40
0;20;40;25;20;40
25;0;40;25;20;40
25;20;40;25;20;40
25;0;0;25;20;40
